ds,yhat,yhat_lower,yhat_upper
2025-03-02 15:30:00,13.130218351796941,11.197705296242399,14.92538710563767
2025-03-02 16:00:00,12.331047590192803,10.502725848664612,14.19440659784615
2025-03-02 16:30:00,11.019931736394225,9.208316278760655,12.955759719709647
2025-03-02 17:00:00,9.256279398135753,7.34165766064764,11.128996390452619
2025-03-02 17:30:00,7.232526280338429,5.232689501553946,9.053191722177294
2025-03-02 18:00:00,5.254154573281185,3.38437974783785,7.158749034618639
2025-03-02 18:30:00,3.6843829925393257,1.6583361529228857,5.492129254587671
2025-03-02 19:00:00,2.863088052549725,1.029901106057247,4.7869589640095604
2025-03-02 19:30:00,3.0177325219573508,1.1791826725290184,4.948167111555731
2025-03-02 20:00:00,4.188268564778012,2.253675516654551,6.123950952771738
2025-03-02 20:30:00,6.186727096192486,4.3581980205843855,7.946931998920043
2025-03-02 21:00:00,8.60545958860122,6.770947790104541,10.555456239482412
2025-03-02 21:30:00,10.877172956422871,8.944044395270211,12.787381301025503
2025-03-02 22:00:00,12.37753563967675,10.41769626580772,14.180167497689338
2025-03-02 22:30:00,12.55028584170724,10.605013411795454,14.36569622267537
2025-03-02 23:00:00,11.02822580098703,9.273289536885345,13.101759882441781
2025-03-02 23:30:00,7.723031238159756,5.823858134927178,9.599315082058682
2025-03-03 00:00:00,2.8627590821907214,0.859817880114294,4.606994473363514
2025-03-03 00:30:00,-3.032971537094891,-4.912060393112766,-1.1159481140089322
2025-03-03 01:00:00,-9.236484358161238,-11.140538655965837,-7.227646976369542
2025-03-03 01:30:00,-14.937586863733113,-16.883377525306013,-13.03089159216185
2025-03-03 02:00:00,-19.385237003757904,-21.34301801813285,-17.45042888513297
2025-03-03 02:30:00,-22.016102930155448,-23.80240898116778,-20.107837109198123
2025-03-03 03:00:00,-22.54413489020837,-24.369840541815034,-20.680140347836602
2025-03-03 03:30:00,-20.99440974133953,-22.943926129076765,-19.157832385420676
2025-03-03 04:00:00,-17.677166172724405,-19.61854371474597,-15.815378662834576
2025-03-03 04:30:00,-13.111045819144746,-15.124896849289648,-11.181885598119344
2025-03-03 05:00:00,-7.914989795401618,-9.903608459652629,-5.914797501511364
2025-03-03 05:30:00,-2.693656087031459,-4.643177757428198,-0.6807936407251531
2025-03-03 06:00:00,2.0594214414854632,0.11665651287440666,4.035514554849152
2025-03-03 06:30:00,6.022925747627397,4.1653647899906225,7.965178299606013
2025-03-03 07:00:00,9.065030092289566,7.111580545886077,10.850672195139097
2025-03-03 07:30:00,11.219755451534898,9.391424479799214,13.012549384700586
2025-03-03 08:00:00,12.634527745620284,10.662018397289984,14.580617702601588
2025-03-03 08:30:00,13.506313902428687,11.77932408455862,15.521405770348698
2025-03-03 09:00:00,14.023995005019106,12.104873688572946,15.905819940780566
2025-03-03 09:30:00,14.330269484473789,12.390586401460308,16.214267191804968
2025-03-03 10:00:00,14.508929415220486,12.584887266498678,16.478276383908174
2025-03-03 10:30:00,14.59512276893265,12.589532157762198,16.398035625602045
2025-03-03 11:00:00,14.599590348349176,12.669845475938414,16.453466998773365
2025-03-03 11:30:00,14.534652054016254,12.753707867054647,16.453646381614025
2025-03-03 12:00:00,14.43064974316006,12.482811162246147,16.273321776565247
2025-03-03 12:30:00,14.336126962479735,12.367992615043798,16.38431179543322
2025-03-03 13:00:00,14.301667772957593,12.228206793733694,16.116234498058553
2025-03-03 13:30:00,14.353867349918396,12.482687161324037,16.282522993409675
2025-03-03 14:00:00,14.470255767794347,12.62991710931715,16.412006165317607
2025-03-03 14:30:00,14.566704315980042,12.787496090317713,16.512134747542092
2025-03-03 15:00:00,14.505571210036951,12.564809330521584,16.544572685572906
2025-03-03 15:30:00,14.12646427722147,12.120013842496833,15.923221763201296
2025-03-03 16:00:00,13.293864960131367,11.401662585363779,15.29269097526018
2025-03-03 16:30:00,11.9492829931534,10.231334429502425,13.93457021349235
2025-03-03 17:00:00,10.152203914353052,8.226660647640564,11.96482985945169
2025-03-03 17:30:00,8.09513832893824,6.179336793033715,9.982064804609685
2025-03-03 18:00:00,6.083641119555342,4.205112149391152,8.050704281958758
2025-03-03 18:30:00,4.481001309305261,2.5630806844004557,6.4512243678079315
2025-03-03 19:00:00,3.6271631735269416,1.771830312123133,5.544217975617394
2025-03-03 19:30:00,3.749654540511939,1.8100134148624603,5.586554592857635
2025-03-03 20:00:00,4.888489789114308,2.944528064030795,6.970476569957149
2025-03-03 20:30:00,6.85575907073741,4.994734752908479,8.821638902292591
2025-03-03 21:00:00,9.243869991593453,7.366221577361373,11.11172224164705
2025-03-03 21:30:00,11.485582387135274,9.613107002579081,13.348828854590046
2025-03-03 22:00:00,12.956614305686143,11.119457571068317,15.03174445278626
2025-03-03 22:30:00,13.100750154436415,11.232697874455813,15.03791687757463
2025-03-03 23:00:00,11.55083489741247,9.659441694753513,13.49659117369162
2025-03-03 23:30:00,8.218583434325316,6.272957225957394,10.22429266194285
2025-03-04 00:00:00,3.332088276718932,1.4241921052024298,5.188137692980121
2025-03-04 00:30:00,-2.588999504097705,-4.631430036101742,-0.7619576422194492
2025-03-04 01:00:00,-8.81697537516352,-10.67392996095286,-6.915752025113175
2025-03-04 01:30:00,-14.541622229518232,-16.51409528308845,-12.6029268625484
2025-03-04 02:00:00,-19.011877123533132,-21.007365698061037,-17.107487813897517
2025-03-04 02:30:00,-21.6643909967529,-23.566793682109367,-19.815647320974975
2025-03-04 03:00:00,-22.213100550100307,-24.18266535937974,-20.230997737615418
2025-03-04 03:30:00,-20.683072730311174,-22.553844412625207,-18.85004165590877
2025-03-04 04:00:00,-17.384539908513624,-19.25379696332295,-15.438155237916217
